run_id,label,valid,max_running_requests,chunked_prefill_size,radix_cache,request_count,success_count,throughput_requests_s,throughput_output_tokens_s,energy_j,joules_per_request,joules_per_1000_output_tokens,p95_ttft_ms,p95_tpot_ms,p95_e2e_ms,queue_median,queue_nonzero_fraction
046-s3-warm-PX87-mrr-128_chunk-8192_cache-off,s3-warm-PX87-mrr-128_chunk-8192_cache-off,False,128,8192,False,544,544,11.871531573007786,1519.5560413449966,57566.55700016022,105.82087683852981,826.7256003010142,850.1104589551687,65.37326469020111,8668.553752545267,0.0,0.16483516483516483
047-s3-warm-PX87-mrr-128_chunk-8192_cache-on,s3-warm-PX87-mrr-128_chunk-8192_cache-on,True,128,8192,True,544,544,11.933001308419307,1527.4241674776713,38419.92300033569,70.62485845649944,551.7567066914019,151.5079817734659,18.75451041576196,2491.687400173396,0.0,0.01098901098901099
048-s4-dec-capacity-c64,s4-dec-capacity-c64,True,128,8192,False,64,64,5.686479849662891,5822.955366054801,11550.821000099182,180.48157812654972,176.2515411392087,550.5488614551723,10.691911321249904,11243.388651777059,0.0,0.0
049-s4-dec-capacity-c128,s4-dec-capacity-c128,True,128,8192,False,128,128,7.9573833466880055,8148.360547008518,18592.59399986267,145.25464062392712,141.85023498430382,939.0450606122613,15.412245045087408,16058.601997420192,0.0,0.06060606060606061
050-s4-dec-capacity-c256,s4-dec-capacity-c256,True,128,8192,False,256,256,7.9068247230688575,8096.58851642251,37869.22000026703,147.92664062604308,144.4596099863702,17296.896846033633,15.452098211078729,32321.298060938716,46.0,0.5230769230769231
051-s4-BAL-mrr-128_chunk-8192_cache-off-seed-2026082591,s4-BAL-mrr-128_chunk-8192_cache-off-seed-2026082591,False,128,8192,False,3845,3845,41.888322520786446,5361.705282660665,105778.32400035858,27.510617425320827,214.92669863531896,1281.8046238273375,26.383605790067843,4097.555693611503,9.0,0.7868852459016393
052-s4-BAL-mrr-128_chunk-8192_cache-off-seed-2026082592,s4-BAL-mrr-128_chunk-8192_cache-off-seed-2026082592,True,128,8192,False,3808,3808,41.625228755016664,5328.029280642133,104970.36000061035,27.565745798479607,215.35738905062195,1087.8450176678598,26.377696666397213,3965.6650768592945,10.0,0.8032786885245902
053-s4-PF-mrr-128_chunk-8192_cache-off-seed-2026082591,s4-PF-mrr-128_chunk-8192_cache-off-seed-2026082591,True,128,8192,False,593,593,6.500439925720856,832.0563104922695,115909.34999990463,195.46264755464526,1527.051934020666,664.2049111425877,104.13557076313361,13583.854347839948,0.0,0.3021978021978022
054-s4-PF-mrr-128_chunk-8192_cache-off-seed-2026082592,s4-PF-mrr-128_chunk-8192_cache-off-seed-2026082592,False,128,8192,False,554,554,6.10644828060554,781.6253799175091,112209.19099998474,202.5436660649544,1582.3723911324564,821.1925284937025,65.48576667230196,8793.345859926194,0.0,0.3149171270718232
055-s4-DEC-mrr-128_chunk-8192_cache-off-seed-2026082591,s4-DEC-mrr-128_chunk-8192_cache-off-seed-2026082591,False,128,8192,False,627,627,6.169486130022099,6317.553797142629,106418.07100057602,169.72579106949922,165.74784284130786,8265.625989437096,22.46130937992623,25421.526762843132,15.0,0.5812807881773399
056-s4-DEC-mrr-128_chunk-8192_cache-off-seed-2026082592,s4-DEC-mrr-128_chunk-8192_cache-off-seed-2026082592,True,128,8192,False,599,599,5.884203736662264,6025.424626342158,109043.64199972153,182.0428080128907,177.77617970008856,390.3992777690292,18.292420429932292,18818.237555027008,0.0,0.07389162561576355
